objectid,filename,youtubeid,vimeoid,title,creator,date,description,Mode,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,genre,mode,listening,source,source-type,source-instrument,location,date-transcribed,original-location,main-region,subregion,original-tonality,original-tonality-directional,secondary-modes,modulation-measures,one-mode
No001,beregovski001.png,,,No. 001,Beregovski (trans.); Malin (encoded),,Dobridyen',Minor,,,,2001,,listening,image/png,eng,,http://rightsstatements.org/vocab/NoC-US/1.0/,Dobriden,Minor,listening,Gurevich,recording,Voice,Odessa,1930,Bobruisk,,,D,Up P5,,All minor,yes
No002,beregovski002.png,,,No. 002,Beregovski (trans.); Malin (encoded),,Dobridyen',Freygish,,,,2001,,listening,image/png,,,,Dobriden,Freygish,listening,"Bergelson, D.",transcription (Beregovski),-,Kyiv,1937,Uman',,,-,-,,All freygish,yes
No003,beregovski003.png,,,No. 003,Beregovski (trans.); Malin (encoded),,Dobridyen',Freygish,,,,2001,,listening,image/png,,,,Dobriden,Freygish,listening,"Bakagan, G.",transcription (Barkagan),Clarinet,Kalinindorf,1936,-,,,-,,,All freygish,yes
No004,beregovski004.png,,,No. 004,Beregovski (trans.); Malin (encoded),,Dobranotsh,Freygish,,,,2001,,listening,image/png,,,,Dobriden,Freygish,listening,"Sakhnovsky, B.",manuscript notation,Violin,-,-,-,,,E,Down m3,C major,17-24,no
No005,beregovski005.png,,,No. 005,Beregovski (trans.); Malin (encoded),,Dobridyen',Minor,,,,2001,,listening,image/png,,,,Dobriden,Minor,listening,"Barkagan, G",transcription (Barkagan),Clarinet,Kalinindorf,-,-,,,E,Down m3,,All minor,yes
No006,beregovski006.png,,,No. 006,Beregovski (trans.); Malin (encoded),,Dobranotsh,Minor,,,,2001,,listening,image/png,,,,Dobranotsh,Minor,listening,"Makonovetsky, A. E. ",transcription (Makonovetsky),Violin,Khabno,-,-,Kiev,Khabno,C,Down P5,Bb major,18-26,no
No007,beregovski007.png,,,No. 007,Beregovski (trans.); Malin (encoded),,Dobranotsh,Minor,,,,2001,,listening,image/png,,,,Dobranotsh,Minor,listening,"Sakhonsky, B.",manuscript notation,Violin,Kalinindorf,-,-,,,G,-,Bb major,17-32,no
No008,beregovski008.png,,,No. 008,Beregovski (trans.); Malin (encoded),,Mazltov (Dobranotsh),Minor,,,,2001,,listening,image/png,,,,Mazltov (Dobranoch),Minor,listening,"Makonovetsky, A. E. ",transcription (Makonovetsky),Violin,Khabno,-,-,,,G,-,Bb major,18-30,no
No010,beregovski010.png,,,No. 010,Beregovski (trans.); Malin (encoded),,Dobranotsh (mazltov),Altered Dorian,,,,2001,,listening,image/png,,,,Dobranotsh (mazltov),Altered Dorian,listening,"Makonovetsky, A. E. ",transcription (Makonovetsky),Violin,Khabno,-,-,Kiev,Khabno,G,-,,All altered dorian,yes
No011,beregovski011.png,,,No. 011,Beregovski (trans.); Malin (encoded),,Dobranotsh,Minor,,,,2001,,listening,image/png,,,,Dobranotsh,Minor,listening,Anonymous,transcription,-,-,-,-,-,-,A,Up M2,,All minor,yes
No012,beregovski012.png,,,No. 012,Beregovski (trans.); Malin (encoded),,Dobridyen',Freygish,,,,2001,,listening,image/png,,,,Dobridyen',Freygish,listening,"Barkagan, G",transcription,Clarinet,Kalinindorf,1936,-,Old Jewish Agricultural Colonies,Kalinindorf,D,Up P5,,All freygish,yes
